iter	Passed	Remaining
0	32	9622
1	62	9331
2	109	10835
3	146	10827
4	181	10721
5	196	9627
6	228	9573
7	259	9472
8	295	9568
9	325	9440
10	356	9377
11	384	9236
12	415	9175
13	445	9102
14	479	9106
15	509	9045
16	538	8959
17	558	8753
18	591	8751
19	629	8807
20	667	8862
21	699	8844
22	730	8800
23	769	8847
24	813	8950
25	853	8998
26	879	8892
27	922	8961
28	963	9003
29	1016	9152
30	1067	9259
31	1105	9260
32	1139	9217
33	1161	9087
34	1199	9082
35	1222	8966
36	1260	8961
37	1296	8939
38	1338	8959
39	1374	8932
40	1409	8901
41	1445	8878
42	1476	8825
43	1511	8791
44	1544	8750
45	1580	8729
46	1616	8700
47	1643	8626
48	1690	8659
49	1735	8678
50	1778	8685
51	1830	8728
52	1871	8721
53	1903	8672
54	1935	8623
55	1968	8576
56	1999	8525
57	2030	8473
58	2071	8460
59	2107	8429
60	2126	8330
61	2157	8283
62	2192	8247
63	2223	8197
64	2256	8156
65	2291	8124
66	2322	8078
67	2358	8047
68	2391	8005
69	2419	7951
70	2453	7913
71	2493	7897
72	2529	7864
73	2566	7837
74	2607	7821
75	2639	7780
76	2677	7752
77	2719	7738
78	2755	7709
79	2788	7668
80	2821	7627
81	2864	7615
82	2915	7621
83	2962	7618
84	3014	7625
85	3051	7592
86	3081	7545
87	3115	7505
88	3149	7466
89	3179	7419
90	3213	7381
91	3247	7342
92	3279	7298
93	3311	7256
94	3343	7213
95	3373	7168
96	3406	7129
97	3442	7095
98	3455	7015
99	3487	6974
100	3518	6931
101	3549	6889
102	3584	6856
103	3634	6849
104	3647	6773
105	3690	6753
106	3760	6783
107	3788	6735
108	3845	6738
109	3906	6746
110	3933	6696
111	3965	6656
112	4010	6636
113	4056	6619
114	4116	6622
115	4167	6610
116	4187	6550
117	4242	6543
118	4290	6526
119	4339	6508
120	4394	6501
121	4439	6477
122	4457	6413
123	4493	6377
124	4534	6348
125	4586	6333
126	4639	6319
127	4669	6274
128	4705	6237
129	4748	6209
130	4790	6179
131	4826	6142
132	4858	6100
133	4893	6061
134	4929	6024
135	4967	5990
136	5014	5966
137	5064	5945
138	5112	5921
139	5152	5888
140	5194	5857
141	5240	5830
142	5287	5805
143	5334	5779
144	5381	5753
145	5403	5699
146	5453	5675
147	5510	5658
148	5551	5626
149	5597	5597
150	5639	5564
151	5663	5514
152	5686	5463
153	5726	5429
154	5767	5395
155	5779	5334
156	5796	5279
157	5834	5243
158	5871	5206
159	5910	5171
160	5953	5139
161	5993	5105
162	6006	5048
163	6040	5009
164	6076	4971
165	6115	4936
166	6158	4904
167	6200	4871
168	6228	4828
169	6265	4790
170	6319	4767
171	6368	4738
172	6406	4702
173	6429	4655
174	6470	4621
175	6498	4578
176	6543	4547
177	6572	4504
178	6629	4481
179	6649	4433
180	6674	4388
181	6719	4356
182	6756	4319
183	6789	4280
184	6825	4242
185	6859	4204
186	6892	4164
187	6926	4126
188	6937	4074
189	6948	4022
190	6966	3975
191	6992	3933
192	7025	3894
193	7058	3856
194	7089	3817
195	7121	3778
196	7153	3740
197	7169	3693
198	7204	3656
199	7235	3617
200	7247	3569
201	7284	3534
202	7316	3495
203	7351	3459
204	7363	3412
205	7393	3373
206	7404	3326
207	7428	3285
208	7460	3248
209	7496	3212
210	7529	3176
211	7571	3142
212	7608	3107
213	7639	3069
214	7671	3032
215	7701	2995
216	7734	2958
217	7771	2923
218	7802	2885
219	7812	2841
220	7844	2804
221	7875	2767
222	7909	2731
223	7923	2688
224	7957	2652
225	7992	2616
226	8022	2579
227	8054	2543
228	8087	2507
229	8122	2472
230	8159	2437
231	8191	2400
232	8222	2364
233	8235	2322
234	8266	2286
235	8296	2249
236	8326	2213
237	8361	2178
238	8396	2143
239	8408	2102
240	8438	2065
241	8472	2030
242	8505	1995
243	8541	1960
244	8553	1920
245	8594	1886
246	8641	1854
247	8674	1818
248	8705	1783
249	8735	1747
250	8767	1711
251	8784	1673
252	8816	1637
253	8849	1602
254	8880	1567
255	8893	1528
256	8923	1492
257	8957	1458
258	8988	1422
259	9023	1388
260	9057	1353
261	9074	1316
262	9088	1278
263	9099	1240
264	9119	1204
265	9149	1169
266	9182	1134
267	9196	1098
268	9227	1063
269	9263	1029
270	9295	994
271	9326	960
272	9358	925
273	9391	891
274	9402	854
275	9439	820
276	9459	785
277	9484	750
278	9529	717
279	9554	682
280	9608	649
281	9660	616
282	9715	583
283	9758	549
284	9794	515
285	9827	481
286	9862	446
287	9893	412
288	9926	377
289	9958	343
290	9987	308
291	10018	274
292	10051	240
293	10082	205
294	10115	171
295	10147	137
296	10179	102
297	10213	68
298	10248	34
299	10281	0
